City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,278.1,86,100,9.0,TF,1738452176
1,edinburgh of the seven seas,-37.0676,-12.3116,290.94,92,92,6.44,SH,1738452255
2,yelizovo,53.1873,158.3805,262.23,52,0,1.0,RU,1738452256
3,hermanus,-34.4187,19.2345,292.48,81,22,1.65,ZA,1738452171
4,fortuna,40.5982,-124.1573,285.66,98,75,0.0,US,1738452259
5,vera,-29.4593,-60.2126,303.89,22,0,3.68,AR,1738452017
6,puerto natales,-51.7236,-72.4875,285.87,72,100,1.74,CL,1738452216
7,mil'kovo,55.6078,37.7956,275.56,74,100,4.78,RU,1738452262
8,sitka,57.0531,-135.33,270.09,24,20,8.23,US,1738452263
9,longyearbyen,78.2186,15.6401,274.06,69,75,7.72,SJ,1738452193
10,blackmans bay,-43.0167,147.3167,295.66,65,30,1.59,AU,1738452265
11,pimentel,-6.8367,-79.9342,298.31,65,75,6.69,PE,1738452267
12,ulsteinvik,62.3432,5.8487,276.1,75,100,3.49,NO,1738452268
13,west island,-12.1568,96.8225,300.14,94,75,4.63,CC,1738452168
14,iqaluit,63.7506,-68.5145,245.0,63,40,1.54,CA,1738452220
15,antonio enes,-16.2325,39.9086,299.35,88,99,0.84,MZ,1738452271
16,catia la mar,10.6038,-67.0303,298.26,78,60,7.72,VE,1738452272
17,qaqortoq,60.7167,-46.0333,255.87,93,31,1.65,GL,1738451956
18,corning,42.1428,-77.0547,263.36,69,74,0.89,US,1738452275
19,daru,-9.0763,143.2092,300.49,82,100,5.79,PG,1738452276
20,puerto ayora,-0.7393,-90.3518,298.46,95,83,0.45,EC,1738452255
21,waitangi,-43.9535,-176.5597,289.72,95,100,2.24,NZ,1738452196
22,keflavik,64.0049,-22.5624,275.39,93,75,14.92,IS,1738452279
23,hawaiian paradise park,19.5933,-154.9731,299.2,87,100,3.09,US,1738452281
24,kristiansund,63.1115,7.732,273.51,64,100,2.57,NO,1738452266
25,hammerfest,70.6634,23.6821,274.4,80,75,1.54,NO,1738452283
26,ust-nera,64.5667,143.2,237.88,99,99,1.35,RU,1738452284
27,mersa matruh,31.3525,27.2453,288.65,69,100,2.66,EG,1738452285
28,ushuaia,-54.8,-68.3,286.96,58,40,3.6,AR,1738451980
29,adamstown,-25.066,-130.1015,298.01,70,91,7.03,PN,1738452170
30,yellowknife,62.456,-114.3525,244.49,89,75,4.12,CA,1738452177
31,vilhena,-12.7406,-60.1458,296.27,94,75,4.63,BR,1738452291
32,boende,-0.2167,20.8667,299.47,41,54,0.99,CD,1738452292
33,ugoofaaru,5.6667,73.0,300.49,77,100,4.46,MV,1738452293
34,banda aceh,5.5577,95.3222,298.13,79,84,2.05,ID,1738452295
35,albany,42.6001,-73.9662,262.38,73,30,4.92,US,1738452012
36,lerwick,60.1545,-1.1494,280.13,89,100,11.96,GB,1738452297
37,bethel,41.3712,-73.414,269.2,63,0,4.63,US,1738452223
38,smithers,54.7804,-127.1743,257.33,51,75,5.66,CA,1738452299
39,solnechnyy,50.7214,136.6319,253.77,97,100,1.32,RU,1738452300
40,margaret river,-33.95,115.0667,287.95,89,32,2.99,AU,1738452208
41,bilibino,68.0546,166.4372,239.67,98,100,0.35,RU,1738452303
42,tazovsky,67.4667,78.7,245.8,90,52,4.49,RU,1738452252
43,dauphin,51.1494,-100.0502,261.23,72,100,5.14,CA,1738452239
44,nagqu,31.5,92.0,268.72,8,0,5.46,CN,1738452307
45,edd,13.9297,41.6925,298.4,59,35,6.23,ER,1738452308
46,grytviken,-54.2811,-36.5092,276.06,82,53,5.18,GS,1738452190
47,san ciro de acosta,21.6333,-99.8167,295.94,26,13,4.92,MX,1738452310
48,fauske,67.2588,15.3918,265.36,75,6,3.63,NO,1738452311
49,dolores,-36.3132,-57.6792,297.77,59,92,5.81,AR,1738452312
50,bathsheba,13.2167,-59.5167,299.49,69,20,7.72,BB,1738452314
51,mossel bay,-34.1831,22.146,293.63,82,1,2.87,ZA,1738452315
52,stanley,54.868,-1.6985,276.16,84,0,4.12,GB,1738452231
53,khark,29.2614,50.3306,291.22,41,5,3.54,IR,1738452317
54,kotlas,61.2611,46.6556,273.64,99,100,1.96,RU,1738452318
55,papao,-17.75,-149.55,303.97,71,99,4.9,PF,1738452321
56,whitehorse,60.7161,-135.0538,248.58,63,20,3.09,CA,1738452322
57,kulachi,31.9286,70.4592,284.52,39,0,2.01,PK,1738452323
58,road town,18.4167,-64.6167,299.17,73,75,4.12,VG,1738452324
59,nouadhibou,20.931,-17.0347,291.14,72,0,9.77,MR,1738451952
60,cidade velha,14.9167,-23.6167,293.45,68,0,7.36,CV,1738451778
61,codrington,-38.2667,141.9667,300.91,43,2,1.58,AU,1738452328
62,upata,8.0086,-62.3989,297.25,67,83,4.26,VE,1738452249
63,christchurch,-43.5333,172.6333,292.77,66,100,0.89,NZ,1738452299
64,box elder,41.5005,-112.8764,277.96,80,100,2.9,US,1738452331
65,tralee,52.2704,-9.7026,283.55,98,100,2.53,IE,1738452258
66,harper,4.375,-7.7169,299.87,83,29,2.45,LR,1738452333
67,tiksi,71.6872,128.8694,244.88,98,100,4.84,RU,1738452233
68,tolanaro,-25.0319,46.9987,297.58,87,90,1.7,MG,1738452336
69,ribeira grande,38.5167,-28.7,286.37,76,20,4.02,PT,1738452201
70,chonchi,-42.6128,-73.8092,290.44,57,36,1.64,CL,1738452214
71,segou,13.4317,-6.2157,296.61,15,82,6.02,ML,1738452339
72,novyy urengoy,66.0833,76.6333,247.7,94,47,4.14,RU,1738452340
73,katagum,12.2867,10.3527,294.74,17,98,4.5,NG,1738452342
